# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F322W2    NIRCAM-F164N     NIRCAM-F090W     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F115W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F430M     NIRCAM-F323N     NIRCAM-F212N     NIRCAM-F466N     NIRCAM-F460M     NIRCAM-F200W     NIRCAM-F070W     NIRCAM-F182M     NIRCAM-F360M     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F150W     NIRCAM-F187N     NIRCAM-F480M     NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F356W     NIRCAM-F150W2   
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.03500000       5.87801607E-01   1329.48223000    -4.57176977      0.09776532       5.00211331       13.16299027      13.25939995      16.36471013      13.64832902      13.25229874      14.07224395      11.47472054      13.33208559      11.58951937      14.08791250      11.58954923      14.24869250      12.97328018      11.64356632      11.74509052      13.68188296      22.15070802      14.08589231      12.87231910      11.34446423      14.02096229      15.13657674      13.94130789      14.37029370      11.66336037      13.20625426      11.68626200      12.77701663      13.88781431     
  0.03500000       7.44380301E-01   1249.59896456    -4.69593695      0.09592173       5.01864854       13.54512542      13.84447702      16.74551253      14.08150971      13.72044825      14.32139936      11.73729792      13.70545670      11.78666692      14.58482436      11.77107606      14.71985074      13.31559892      11.75766126      11.84949996      14.07743726      22.77353414      14.57250595      13.22490335      11.61948391      14.46186813      15.64303692      14.37575776      14.85448898      11.79252089      13.55358052      11.80682160      13.13265529      14.24754165     
  0.03500000       9.42668455E-01   1159.03647200    -4.84212903      0.09422919       5.03411177       13.93555014      14.47878927      17.21616769      14.57493937      14.21998799      14.64363119      12.00775246      14.13287950      11.99967560      15.13284714      11.98607574      15.21665926      13.72196737      11.89923012      11.97902536      14.54596400      23.53804653      15.14826710      13.56719265      11.90340464      14.92392278      16.24775080      14.86078671      15.44631652      11.95435007      13.96830344      11.95664627      13.47631896      14.66453283     
  0.03500000       1.19377664E+00   1062.03391545    -5.00691859      0.09282963       5.04710923       14.33945222      15.15651759      17.74790729      15.11151418      14.73010313      15.02622104      12.29055449      14.60789982      12.22837718      15.71628092      12.22570782      15.75923675      14.18313192      12.06528962      12.13141606      15.06981644      24.36617330      15.79080825      13.91992806      12.19849708      15.41184312      16.90353102      15.36593427      16.10575717      12.13913197      14.43885286      12.12900896      13.82557807      15.12667210     
  0.03500000       1.51177507E+00   989.67610679     -5.14108912      0.09160048       5.05868685       14.66204153      15.68774704      18.19073085      15.56772623      15.13015889      15.36753510      12.52379347      15.02770328      12.42765762      16.19304454      12.44125429      16.22089270      14.60943964      12.22637974      12.28075370      15.54222683      25.06186279      16.33844790      14.20990424      12.43681558      15.81629127      17.44906192      15.77494401      16.66734078      12.31451227      14.87852439      12.29316904      14.10413730      15.52232164     
  0.03500000       1.91448198E+00   919.56744747     -5.27942103      0.09047988       5.06937823       14.97414052      16.19797836      18.64328020      16.02653238      15.52291693      15.73075081      12.75712230      15.45673814      12.63051508      16.66012169      12.65748473      16.62430054      15.05283717      12.39760165      12.44088439      16.03513633      25.71068974      16.88708539      14.48640070      12.67647921      16.18887634      17.99572694      16.18412828      17.22542875      12.49714892      15.34630833      12.46469055      14.37495617      15.93316504     
  0.03500000       2.42446202E+00   850.63949936     -5.42450803      0.08946878       5.07913921       15.28895416      16.72677961      19.12764963      16.51522687      15.94001993      16.12915759      12.99809263      15.92011826      12.84375332      17.14287390      12.88445769      17.09644157      15.54501156      12.58321062      12.61839539      16.57696981      26.21126676      17.46654714      14.76471865      12.92432462      16.59517505      18.56312295      16.62237737      17.81277615      12.69095831      15.86871979      12.65073527      14.64963912      16.37664735     
  0.03500000       3.07029063E+00   787.12851588     -5.56801128      0.08857868       5.08782385       15.60701127      17.26832876      19.63545679      17.02386727      16.37456499      16.55335992      13.24366373      16.40264070      13.06221259      17.64227594      13.10964963      17.61223418      16.05335317      12.77934402      12.80809505      17.14343608      26.65735738      18.05648555      15.05047726      13.17908583      17.02595856      19.13685059      17.08198490      18.41494907      12.89071399      16.41945560      12.84852576      14.93168812      16.84096557     
  0.03500000       3.88815518E+00   732.05270259     -5.70185378      0.08778381       5.09565345       15.89963478      17.76385188      20.10760184      17.51074535      16.78640224      16.95435447      13.46669563      16.86172966      13.26221542      18.11983286      13.31396129      18.14300463      16.53454844      12.95081912      12.97832208      17.67898554      26.98303912      18.60086425      15.32504722      13.41075842      17.45883615      19.66734483      17.51998286      18.98178606      13.08171840      16.94318142      13.02713625      15.19552719      17.27753065     
  0.03500000       4.92388263E+00   682.96835374     -5.82955992      0.08706430       5.10280210       16.18623437      18.25517559      20.55673583      17.98941149      17.19959688      17.35802184      13.68546244      17.30597995      13.46356636      18.60193121      13.51013271      18.70045233      17.01933703      13.15456582      13.16865655      18.21116115      27.44570120      19.13546176      15.59963222      13.63127812      17.89990724      20.17956003      17.95936581      19.55118841      13.27953257      17.46550873      13.23474083      15.45973348      17.71189939     
  0.03500000       6.23550734E+00   640.32646747     -5.94819024      0.08640132       5.10944148       16.47808788      18.76899670      20.98281926      18.48222513      17.62481737      17.76353624      13.91587301      17.76132639      13.66306056      19.11124340      13.71492376      19.30748906      17.54812501      13.31407819      13.33836289      18.77540695      27.58517017      19.69159843      15.88700113      13.87874846      18.36173878      20.70389476      18.40997496      20.15655477      13.45339800      18.02310389      13.37424492      15.73247774      18.15196805     
  0.03500000       7.89652287E+00   601.92242152     -6.06173845      0.08579663       5.11554178       16.76334237      19.27475135      21.37499623      18.97429086      18.04467195      18.16193927      14.13620601      18.21271270      13.85354500      19.63199619      13.90904457      19.93482272      18.07870830      13.48012826      13.50568710      19.33536494      28.06494403      20.23896878      16.18017813      14.10658664      18.82855886      21.21070375      18.85316525      20.76664161      13.61976292      18.57735255      13.54119270      16.00328921      18.58284958     
  0.03500000       1.00000000E+01   569.96044375     -6.16225044      0.08523193       5.12127760       17.03107222      19.76216177      21.71200953      19.43454266      18.43436294      18.53761050      14.34033833      18.63593246      14.03346400      20.13310106      14.08427408      20.55422122      18.60959865      13.64653341      13.66812728      19.87654362      28.13991543      20.75639771      16.45936469      14.32492085      19.27357209      21.68392721      19.26125549      21.35734081      13.79513581      19.11663467      13.70756521      16.26015931      18.98526804     
